make_model,make,price,body_type,mileage,gearbox,fuel_type,seller,power,gears,emission_class,previous_owner,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Mercedes Benz A 160,Mercedes Benz,16950,Compact,120200.0,Manual,Diesel,Dealer,75.0,6.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,46990,Compact,18995.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,16800,Compact,197000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,standard
Mercedes Benz C 160,Mercedes Benz,4690,Compact,165000.0,Manual,Benzin,Dealer,90.0,6.0,Other,Second Hand,17.0,Standart,Medium,standard
Mercedes Benz CLA 180,Mercedes Benz,22550,Compact,83339.0,Manual,Diesel,Dealer,90.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
Mercedes Benz A 220,Mercedes Benz,26900,Compact,48900.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,44999,Compact,56876.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,23900,Compact,21854.0,Automatic,Diesel,Dealer,102.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,14200,Compact,99016.0,Manual,Diesel,Dealer,66.0,5.0,Euro 6,Second Hand,7.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,37999,Compact,90000.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,23999,Compact,25914.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,Second Hand,9.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,24400,Compact,27150.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,16999,Compact,210000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,7450,Compact,157500.0,Manual,Diesel,Dealer,80.0,6.0,Other,Second Hand,12.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,38999,Compact,21496.0,Automatic,Benzin,Dealer,118.0,8.0,Euro 6,First Hand,1.0,Standart,Low,standard
Mercedes Benz A 35 AMG,Mercedes Benz,41900,Compact,44000.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,29800,Compact,21734.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,37490,Compact,81500.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,21000,Compact,172700.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,26800,Compact,18989.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,32900,Compact,25.0,Manual,Benzin,Dealer,100.0,6.0,Euro 6,First Hand,1.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,32950,Compact,24244.0,Manual,Benzin,Dealer,120.0,7.0,Euro 6,First Hand,3.0,Standart,Low,standard
Mercedes Benz GLC 220,Mercedes Benz,64900,Compact,6589.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,1.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,67900,Compact,6564.0,Automatic,Benzin,Dealer,310.0,8.0,Euro 6,First Hand,1.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,13999,Compact,128644.0,Manual,Diesel,Dealer,66.0,5.0,Other,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,29990,Compact,120000.0,Automatic,Benzin,Dealer,265.0,7.0,Euro 6,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,8300,Compact,71752.0,Automatic,Benzin,Dealer,100.0,7.0,Other,Second Hand,17.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,32950,Compact,34942.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,First Hand,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,32950,Compact,20124.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,2.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,36900,Compact,11990.0,Automatic,Benzin,Dealer,160.0,8.0,Euro 6,First Hand,1.0,Standart,Low,standard
Mercedes Benz E 220,Mercedes Benz,29800,Compact,55226.0,Manual,Diesel,Dealer,125.0,5.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,18390,Compact,63871.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,25900,Compact,26900.0,Manual,Benzin,Dealer,100.0,6.0,Euro 6,First Hand,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,25400,Compact,87700.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz B 200,Mercedes Benz,29000,Compact,45701.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,29900,Compact,52497.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,Second Hand,3.0,Standart,Low,luxury
Mercedes Benz A 180,Mercedes Benz,14490,Compact,118059.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,20630,Compact,98258.0,Manual,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,27500,Compact,11394.0,Manual,Benzin,Dealer,80.0,6.0,Euro 6,First Hand,1.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,8490,Compact,141980.0,Automatic,Benzin,Dealer,85.0,5.0,Other,First Hand,11.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,23850,Compact,71098.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 220,Mercedes Benz,35500,Compact,26000.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,29900,Compact,26500.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,1.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,25900,Compact,43987.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,16700,Compact,139000.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,27460,Compact,58813.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,Second Hand,2.0,Upgrated,Low,standard
Mercedes Benz A 200,Mercedes Benz,17399,Compact,100640.0,Manual,Diesel,Dealer,100.0,6.0,Euro 6,Second Hand,9.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,23999,Compact,100000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,29900,Compact,68900.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,27999,Compact,41272.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,First Hand,4.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,25600,Compact,49600.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,26850,Compact,28330.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,2.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,44785,Compact,9000.0,Automatic,Benzin,Dealer,173.0,8.0,Euro 6,First Hand,2.0,Upgrated,Low,luxury
Mercedes Benz A 180,Mercedes Benz,25990,Compact,67626.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,2.0,Upgrated,Low,luxury
Mercedes Benz A 200,Mercedes Benz,34995,Compact,8828.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,27800,Compact,61618.0,Automatic,Diesel,Dealer,80.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,29999,Compact,17115.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,2.0,Standart,Low,standard
Mercedes Benz A 200,Mercedes Benz,38350,Compact,8000.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,First Hand,1.0,Upgrated,Low,luxury
Mercedes Benz A 200,Mercedes Benz,23400,Compact,87500.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 150,Mercedes Benz,7350,Compact,61170.0,Automatic,Benzin,Dealer,70.0,5.0,Other,Second Hand,16.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,21450,Compact,116715.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz A 220,Mercedes Benz,43880,Compact,8000.0,Automatic,Diesel,Dealer,140.0,8.0,Euro 6,First Hand,1.0,Upgrated,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,23900,Compact,98781.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz B 200,Mercedes Benz,38880,Compact,22000.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,27900,Compact,19785.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,1.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,33900,Compact,35758.0,Automatic,Diesel,Dealer,110.0,8.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,64999,Compact,30273.0,Automatic,Benzin,Dealer,310.0,8.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz V 220,Mercedes Benz,37900,Compact,126000.0,Manual,Diesel,Dealer,120.0,9.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,27490,Compact,91754.0,Automatic,Diesel,Dealer,85.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,24780,Compact,46403.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,Second Hand,4.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,9770,Compact,49658.0,Manual,Benzin,Dealer,85.0,5.0,Other,Second Hand,10.0,Standart,Medium,standard
Mercedes Benz A 150,Mercedes Benz,6990,Compact,135000.0,Manual,Benzin,Dealer,70.0,5.0,Euro 6,Second Hand,14.0,Standart,Medium,standard
Mercedes Benz A 200,Mercedes Benz,7000,Compact,96000.0,Manual,Benzin,Dealer,100.0,5.0,Other,Second Hand,17.0,Standart,Medium,standard
Mercedes Benz A 250,Mercedes Benz,33999,Compact,12265.0,Automatic,Benzin,Dealer,160.0,7.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 160,Mercedes Benz,25950,Compact,13863.0,Manual,Benzin,Dealer,80.0,5.0,Euro 6,First Hand,2.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,31950,Compact,23644.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,0.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,25000,Compact,78300.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,3.0,Standart,Low,standard
Mercedes Benz A 180,Mercedes Benz,14700,Compact,93914.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,Second Hand,7.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,32800,Compact,17900.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,1.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,8950,Compact,199000.0,Automatic,Diesel,Dealer,80.0,7.0,Other,Second Hand,10.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,66990,Compact,48000.0,Automatic,Benzin,Dealer,310.0,8.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,56980,Compact,58592.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,Second Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,46999,Compact,5934.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,First Hand,1.0,Standart,Low,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,32999,Compact,100229.0,Automatic,Benzin,Dealer,266.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,39495,Compact,54510.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,luxury
Mercedes Benz A 250,Mercedes Benz,38850,Compact,49627.0,Automatic,Benzin,Dealer,202.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,10950,Compact,194367.0,Manual,Diesel,Dealer,80.0,6.0,Other,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,16750,Compact,184748.0,Automatic,Diesel,Dealer,80.0,6.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,30950,Compact,115949.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,12950,Compact,236233.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 180,Mercedes Benz,12445,Compact,177477.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 35 AMG,Mercedes Benz,48950,Compact,59012.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,28445,Compact,117613.0,Automatic,Benzin,Dealer,265.0,7.0,Euro 6,Second Hand,9.0,Standart,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,48136,Compact,4537.0,Automatic,Benzin,Dealer,110.0,7.0,Euro 6,First Hand,1.0,Standart,Low,luxury
Mercedes Benz A 200,Mercedes Benz,51999,Compact,6642.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,1.0,Standart,Low,luxury
Mercedes Benz A 180,Mercedes Benz,14945,Compact,188018.0,Automatic,Benzin,Dealer,90.0,8.0,Euro 6,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,39900,Compact,46300.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,25950,Compact,136404.0,Automatic,Benzin,Dealer,266.0,7.0,Euro 6,Second Hand,8.0,Standart,Medium,luxury
Mercedes Benz A 180,Mercedes Benz,16950,Compact,165282.0,Manual,Diesel,Dealer,80.0,6.0,Other,Second Hand,10.0,Standart,Medium,luxury
Mercedes Benz A 35 AMG,Mercedes Benz,66890,Compact,500.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,0.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,34900,Compact,52694.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz A 45 AMG,Mercedes Benz,44988,Compact,62182.0,Automatic,Benzin,Dealer,279.0,7.0,Euro 6,Second Hand,4.0,Standart,Medium,luxury
Mercedes Benz A 200,Mercedes Benz,27425,Compact,139464.0,Automatic,Benzin,Dealer,120.0,7.0,Euro 6,First Hand,4.0,Standart,Low,standard
Mercedes Benz A 250,Mercedes Benz,44980,Compact,34408.0,Automatic,Benzin,Dealer,165.0,7.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz A 220,Mercedes Benz,33945,Compact,47514.0,Automatic,Benzin,Dealer,140.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,standard
