make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz A 160,Mercedes Benz,ES,16950,Compact,Used,5.0,Yes,120200.0,Manual,Diesel,Metallic,Dealer,5.0,75.0,6.0,101.0,Front,No,No,Euro 6,Leather,Second Hand,6.0,5.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,46990,Compact,Used,5.0,Yes,18995.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,170.0,4WD,No,No,Euro 6,Leather,First Hand,2.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,16800,Compact,Used,5.0,Yes,197000.0,Automatic,Diesel,Metallic,Dealer,5.0,100.0,7.0,82.0,4WD,No,No,Euro 6,Leather,Second Hand,7.0,4.9,Standart,Medium,Premium,standard,standard
Mercedes Benz C 160,Mercedes Benz,DE,4690,Compact,Used,3.0,No,165000.0,Manual,Benzin,Metallic,Dealer,4.0,90.0,6.0,196.0,Rear,Yes,Yes,Euro 4,Cloth,Second Hand,17.0,8.2,Standart,Medium,Premium,standard,standard
Mercedes Benz CLA 180,Mercedes Benz,ES,22550,Compact,Used,5.0,Yes,83339.0,Manual,Diesel,non-metallic,Dealer,5.0,90.0,7.0,94.0,Front,No,No,Euro 6,Cloth,First Hand,4.0,6.3,Standart,Medium,Premium,luxury,luxury
Mercedes Benz A 220,Mercedes Benz,ES,26900,Compact,Used,5.0,Yes,48900.0,Automatic,Benzin,Metallic,Dealer,5.0,140.0,7.0,141.0,Front,No,No,Euro 6,Leather,First Hand,3.0,6.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,BE,44999,Compact,Used,5.0,No,56876.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,168.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,23900,Compact,Used,5.0,Yes,21854.0,Automatic,Diesel,non-metallic,Dealer,5.0,102.0,7.0,99.0,Front,No,No,Euro 6,Leather,First Hand,4.0,5.4,Standart,Medium,Middle,standard,standard
Mercedes Benz A 160,Mercedes Benz,BE,14200,Compact,Used,5.0,Yes,99016.0,Manual,Diesel,Metallic,Dealer,5.0,66.0,5.0,98.0,Front,No,No,Euro 6,Cloth,Second Hand,7.0,5.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,37999,Compact,Used,5.0,Yes,90000.0,Automatic,Benzin,Metallic,Dealer,5.0,280.0,7.0,162.0,4WD,No,No,Euro 6,Leather,Second Hand,6.0,6.9,Standart,Medium,Basic,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,23999,Compact,Used,5.0,Yes,25914.0,Automatic,Benzin,non-metallic,Dealer,5.0,155.0,7.0,145.0,Front,No,No,Euro 6,Leather,Second Hand,9.0,6.0,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,24400,Compact,Used,5.0,Yes,27150.0,Manual,Diesel,Metallic,Dealer,5.0,85.0,6.0,120.0,Front,No,No,Euro 6,Leather,First Hand,2.0,4.5,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,16999,Compact,Used,5.0,Yes,210000.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,101.0,4WD,No,No,Euro 6,Leather,Second Hand,6.0,4.9,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,DE,7450,Compact,Used,5.0,No,157500.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,138.0,Front,Yes,Yes,Euro 4,Cloth,Second Hand,12.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 250,Mercedes Benz,BE,38999,Compact,Used,5.0,No,21496.0,Automatic,Benzin,non-metallic,Dealer,5.0,118.0,8.0,146.0,Front,No,No,Euro 6,Leather,First Hand,1.0,6.0,Standart,Low,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,41900,Compact,Used,5.0,Yes,44000.0,Automatic,Benzin,Metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,29800,Compact,Used,5.0,Yes,21734.0,Automatic,Diesel,Metallic,Dealer,5.0,85.0,7.0,120.0,Front,No,No,Euro 6,Leather,First Hand,2.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,37490,Compact,Used,5.0,Yes,81500.0,Automatic,Benzin,non-metallic,Dealer,5.0,280.0,7.0,162.0,4WD,No,No,Euro 6,Leather,Second Hand,6.0,6.9,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,21000,Compact,Used,5.0,Yes,172700.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,26800,Compact,Used,5.0,Yes,18989.0,Automatic,Diesel,Metallic,Dealer,5.0,85.0,7.0,120.0,Front,No,No,Euro 6,Leather,First Hand,2.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,32900,Compact,Pre-registered,5.0,Yes,25.0,Manual,Benzin,non-metallic,Dealer,5.0,100.0,6.0,98.0,Front,No,No,Euro 6,Leather,First Hand,1.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,BE,32950,Compact,Used,5.0,No,24244.0,Manual,Benzin,non-metallic,Dealer,5.0,120.0,7.0,140.0,Front,No,No,Euro 6,Leather,First Hand,3.0,6.1,Standart,Low,Premium,standard,standard
Mercedes Benz GLC 220,Mercedes Benz,ES,64900,Compact,Used,5.0,Yes,6589.0,Automatic,Diesel,non-metallic,Dealer,5.0,143.0,9.0,121.0,4WD,No,No,Euro 6,Cloth,First Hand,1.0,5.0,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,67900,Compact,Used,5.0,Yes,6564.0,Automatic,Benzin,non-metallic,Dealer,5.0,310.0,8.0,190.0,4WD,No,No,Euro 6,Leather,First Hand,1.0,8.4,Standart,Medium,Premium,standard,standard
